Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
CITROEN,CITROEN C5 Aircross BlueHdi SS Feel,15.990 €,2021,96.150 km,Diesel,131 cv,Madrid,https://www.coches.net/citroen-c5-aircross-bluehdi-96kw-130cv-ss-feel-5p-diesel-2020-en-madrid-70406595-covo.aspx
TOYOTA,TOYOTA Corolla 2.0 180H STYLE ECVT,22.990 €,2021,68.107 km,Híbrido,180 cv,Madrid,https://www.coches.net/toyota-corolla-20-180h-style-ecvt-5p-electrico-hibrido-2021-en-madrid-70406615-covo.aspx
RENAULT,RENAULT Clio Zen Energy dCi,9.900 €,2015,164.000 km,Diesel,90 cv,Pontevedra,https://www.coches.net/renault-clio-zen-energy-dci-66kw-90cv-5p-diesel-2016-en-pontevedra-70406724-covo.aspx
KIA,KIA Stonic 1.0 TGDi Drive,13.900 €,2020,99.377 km,Gasolina,100 cv,Madrid,https://www.coches.net/kia-stonic-10-tgdi-74kw-100cv-drive-5p-gasolina-2020-en-madrid-70406963-covo.aspx
KIA,KIA Ceed 1.0 TGDi Tech,14.700 €,2022,111.814 km,Gasolina,120 cv,Madrid,https://www.coches.net/kia-ceed-10-tgdi-88kw-120cv-tech-5p-gasolina-2022-en-madrid-70406965-covo.aspx
KIA,KIA Ceed 1.5 MHEV Tech DCT,25.200 €,2025,11.254 km,Híbrido,140 cv,Madrid,https://www.coches.net/kia-ceed-15-mhev-103kw-140cv-tech-dct-5p-electrico-hibrido-2025-en-madrid-70406966-covo.aspx
KIA,KIA XCeed 1.6 GDi PHEV eTech,23.600 €,2023,37.568 km,Híbrido enchufable,141 cv,Madrid,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-etech-5p-electrico-hibrido-2024-en-madrid-70406967-covo.aspx
KIA,KIA XCeed 1.0 TGDi Tech,18.900 €,2022,28.120 km,Gasolina,120 cv,Madrid,https://www.coches.net/kia-xceed-10-tgdi-tech-88kw-120cv-5p-gasolina-2022-en-madrid-70406968-covo.aspx
KIA,KIA Niro 1.6 GDi HEV Drive,20.900 €,2022,42.945 km,Híbrido,141 cv,Madrid,https://www.coches.net/kia-niro-16-gdi-hev-104kw-141cv-drive-5p-electrico-hibrido-2022-en-madrid-70406974-covo.aspx
OPEL,OPEL Grandland 1.2T XHT Hybrid eDCT6 SS GS,28.990 €,2025,31.000 km,Híbrido,136 cv,Madrid,https://www.coches.net/opel-grandland-12t-xht-hybrid-edct6-ss-gs-5p-electrico-hibrido-2024-en-madrid-70407001-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Passat 1.6 TDI Advance BMT,9.900 €,2015,260.000 km,Diesel,120 cv,Málaga,https://www.coches.net/volkswagen-passat-16-tdi-120cv-advance-bmt-4p-diesel-2015-en-malaga-70407070-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf 3.2 R32 4motion DSG,17.900 €,2006,230.000 km,Gasolina,250 cv,Málaga,https://www.coches.net/volkswagen-golf-32-r32-4motion-dsg-5p-gasolina-2007-en-malaga-70407073-covo.aspx
NISSAN,NISSAN X-TRAIL 1.6 DIGT ACENTA 7 PlazaTecho,13.999 €,2017,160.000 km,Gasolina,163 cv,Sevilla,https://www.coches.net/nissan-x-trail-16-digt-acenta-7-plazatecho-5p-gasolina-2016-en-sevilla-70408280-covo.aspx
NISSAN,NISSAN QASHQAI+2 1.6 dCi SS TEKNA SPORT 4x2,11.500 €,2013,100.000 km,Diesel,130 cv,Sevilla,https://www.coches.net/nissan-qashqai2-16-dci-ss-tekna-sport-4x2-5p-diesel-2012-en-sevilla-70408545-covo.aspx
VOLVO,VOLVO V40 Cross Country 2.0 D2 Cross Country,10.500 €,2019,220.000 km,Diesel,120 cv,Sevilla,https://www.coches.net/volvo-v40-cross-country-20-d2-cross-country-5p-diesel-2018-en-sevilla-70408592-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf 1.9 TDI Conceptline,4.500 €,2006,380.000 km,Diesel,90 cv,Sevilla,https://www.coches.net/volkswagen-golf-19-tdi-conceptline-5p-diesel-2007-en-sevilla-70408634-covo.aspx
FOTON,FOTON Tunland G7 4WD 6MT,30.900 €,2025,2100 km,Diesel,162 cv,Jaén,https://www.coches.net/foton-tunland-g7-4wd-6mt-4p-diesel-2024-en-jaen-70408937-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase GLC GLC 220 d 4MATIC,24.990 €,2018,163.000 km,Diesel,170 cv,Valencia,https://www.coches.net/mercedes-benz-clase-glc-glc-220-d-4matic-5p-diesel-2019-en-valencia-70408958-covo.aspx
VOLVO,VOLVO V40 Cross Country 2.0 D3 Cross Country,14.500 €,2016,154.900 km,Diesel,150 cv,Pontevedra,https://www.coches.net/volvo-v40-cross-country-20-d3-cross-country-5p-diesel-2018-en-pontevedra-70409111-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ CLA CLA 200,35.990 €,2024,16.610 km,Híbrido,163 cv,Jaén,https://www.coches.net/mercedes-benz-cla-cla-200-4p-electrico-hibrido-2025-en-jaen-70409189-covo.aspx
TOYOTA,TOYOTA Yaris 1.5 130H GR Sport Plus,25.690 €,2024,12.000 km,Híbrido,130 cv,Barcelona,https://www.coches.net/toyota-yaris-15-130h-gr-sport-plus-5p-electrico-hibrido-2025-en-barcelona-70409484-covo.aspx
LAND-ROVER,LAND-ROVER Defender 4.4 V8 635 Octa Black 110 Auto 4WD,234.100 €,2026,10 km,Híbrido,635 cv,Madrid,https://www.coches.net/land-rover-defender-44-v8-635-octa-black-110-auto-4wd-5p-electrico-hibrido-2026-en-madrid-70409614-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Advance 1.6 TDI Variant,13.990 €,2018,121.000 km,Diesel,115 cv,Bizkaia,https://www.coches.net/volkswagen-golf-advance-16-tdi-85kw-115cv-variant-5p-diesel-2019-en-vizcaya-70409752-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase GLA GLA 180,23.990 €,2019,59.987 km,Gasolina,122 cv,Alicante,https://www.coches.net/mercedes-benz-clase-gla-gla-180-5p-gasolina-2018-en-alicante-70410136-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 200 d Berlina,43.990 €,2025,18.935 km,Híbrido,163 cv,Jaén,https://www.coches.net/mercedes-benz-clase-c-c-200-d-berlina-4p-electrico-hibrido-2025-en-jaen-70410152-covo.aspx
BMW,BMW X6 xDrive30d,52.999 €,2022,139.500 km,Híbrido,286 cv,Alicante,https://www.coches.net/bmw-x6-xdrive30d-5p-electrico-hibrido-2023-en-alicante-70410493-covo.aspx
KIA,KIA Ceed 1.0 TGDi Style Edition,19.990 €,2025,18.186 km,Gasolina,100 cv,Madrid,https://www.coches.net/kia-ceed-10-tgdi-74kw-100cv-style-edition-5p-gasolina-2024-en-madrid-70410694-covo.aspx
KIA,KIA Sportage 1.6 TGDi Drive 4x2,22.900 €,2023,78.124 km,Gasolina,150 cv,Madrid,https://www.coches.net/kia-sportage-16-tgdi-110kw-150cv-drive-4x2-5p-gasolina-2023-en-madrid-70410695-covo.aspx
FORD,FORD Focus 1.0 Ecoboost MHEV STLine Auto,22.490 €,2023,89.248 km,Híbrido,125 cv,Madrid,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-auto-5p-electrico-hibrido-2023-en-madrid-70410697-covo.aspx
MAZDA,MAZDA CX-30 eSKYACTIVG 2.0 2WD Evolution,24.900 €,2022,44.890 km,Híbrido,122 cv,Madrid,https://www.coches.net/mazda-cx-30-eskyactivg-20-90-kw-2wd-evolution-5p-electrico-hibrido-2022-en-madrid-70410699-covo.aspx
BMW,BMW Serie 2 216dA DCT Gran Coupe,19.990 €,2022,144.000 km,Diesel,116 cv,Murcia,https://www.coches.net/bmw-serie-2-216da-dct-gran-coupe-4p-diesel-2022-en-murcia-70410993-covo.aspx
LAND-ROVER,LAND-ROVER Range Rover Velar 3.0 D300 HSE 4WD Auto,23.000 €,2018,200.000 km,Diesel,300 cv,Murcia,https://www.coches.net/land-rover-range-rover-velar-30-d300-221kw-300cv-hse-4wd-auto-5p-diesel-2019-en-murcia-70412259-covo.aspx
PORSCHE,PORSCHE Cayenne Coupé Turbo,85.000 €,2020,100.000 km,Gasolina,550 cv,Murcia,https://www.coches.net/porsche-cayenne-coupe-turbo-5p-gasolina-2021-en-murcia-70412310-covo.aspx
NISSAN,NISSAN X-TRAIL 2.0 dCi XTRONIC NCONNECTA,13.900 €,2017,245.000 km,Diesel,177 cv,A Coruña,https://www.coches.net/nissan-x-trail-20-dci-xtronic-nconnecta-5p-diesel-2016-en-a-coruna-70413006-covo.aspx
FORD,FORD Mondeo 2.0 Hibrido 138kW187CV Titanium HEV AT,20.490 €,2021,68.930 km,Híbrido,187 cv,Madrid,https://www.coches.net/ford-mondeo-20-hibrido-138kw187cv-titanium-hev-at-4p-electrico-hibrido-2021-en-madrid-70413688-covo.aspx
AUDI,AUDI Q5 S line 45 TFSI quattro S tronic,37.900 €,2020,66.500 km,Híbrido,245 cv,Madrid,https://www.coches.net/audi-q5-s-line-45-tfsi-180kw-quattro-s-tronic-5p-electrico-hibrido-2020-en-madrid-70413838-covo.aspx
VOLVO,VOLVO XC90 2.0 T8 AWD Business Plus Auto,35.900 €,2020,142.400 km,Híbrido enchufable,390 cv,Madrid,https://www.coches.net/volvo-xc90-20-t8-awd-business-plus-auto-5p-electrico-hibrido-2020-en-madrid-70413859-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Arteon RLine 2.0 TDI DSG,32.890 €,2023,35.247 km,Diesel,150 cv,Madrid,https://www.coches.net/volkswagen-arteon-rline-20-tdi-110kw-150cv-dsg-5p-diesel-2023-en-madrid-70414139-covo.aspx
