Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
BMW Serie 5 520dA Touring,11200.0,14901.124,https://www.coches.net/bmw-serie-5-520da-touring-5p-diesel-2015-en-murcia-70360082-covo.aspx,24.837884830809546
CITROEN C-Elysée VTi Feel,6490.0,8606.655,https://www.coches.net/citroen-c-elysee-vti-85kw-115cv-feel-4p-gasolina-2017-en-las-palmas-70110467-covo.aspx,24.5932386762379
MERCEDES-BENZ Clase R R 280 CDI 4MATIC,8980.0,11895.0,https://www.coches.net/mercedes-benz-clase-r-r-280-cdi-4matic-5p-diesel-2008-en-jaen-70058374-covo.aspx,24.506094997898277
RENAULT Mégane Emotion 1.5DCI105,4490.0,5944.5044,https://www.coches.net/renault-megane-emotion-15dci105-5p-diesel-2007-en-madrid-70503107-covo.aspx,24.46805146395966
BMW Serie 1 118d,13500.0,17765.771,https://www.coches.net/bmw-serie-1-118d-5p-diesel-2017-en-murcia-60829031-covo.aspx,24.01118064659757
FIAT 500 Lounge 1.0 6v GSE 70 CV,8250.0,10856.329,https://www.coches.net/fiat-500-lounge-10-6v-gse-52kw-70-cv-3p-electrico-hibrido-2020-en-malaga-70475518-covo.aspx,24.007462164972353
MG eHS 1.5TGDI PHEV Comfort,18490.0,24327.95,https://www.coches.net/mg-ehs-15tgdi-phev-comfort-5p-electrico-hibrido-2022-en-madrid-70326848-covo.aspx,23.996881801490215
VOLKSWAGEN Passat Business 2.0 TDI DSG,15490.0,20377.49,https://www.coches.net/volkswagen-passat-business-20-tdi-90kw-122cv-dsg-4p-diesel-2021-en-vizcaya-70479319-covo.aspx,23.984750713462454
SEAT León ST 2.0 TDI 4Drive StSp Xperience,13490.0,17725.564,https://www.coches.net/seat-leon-st-20-tdi-110kw-4drive-stsp-xperience-5p-diesel-2018-en-madrid-70281236-covo.aspx,23.895230328635737
PEUGEOT 3008 1.2 PURETECH 130 HP ALLURE SS,8290.0,10892.188,https://www.coches.net/peugeot-3008-12-puretech-130-hp-allure-ss-5p-gasolina-2016-en-madrid-70326893-covo.aspx,23.890409922320156
MERCEDES-BENZ CLA CLA 220 D DCT Shooting Brake,27990.0,36736.332,https://www.coches.net/mercedes-benz-cla-cla-220-d-dct-shooting-brake-5p-diesel-2021-en-sevilla-70461488-covo.aspx,23.808397702334233
BMW Serie 3 330i xDrive,19990.0,26226.66,https://www.coches.net/bmw-serie-3-330i-xdrive-4p-gasolina-2017-en-malaga-70331960-covo.aspx,23.779848898388074
LAND-ROVER Discovery Sport 2.0L eD4 4x2 HSE,15000.0,19679.121,https://www.coches.net/land-rover-discovery-sport-20l-ed4-110kw-150cv-4x2-hse-5p-diesel-2017-en-murcia-62181217-covo.aspx,23.777083699312502
