Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
CITROEN,CITROEN C3 PureTech Feel Pack,9.900 €,2022,82.203 km,Gasolina,83 cv,Barcelona,https://www.coches.net/citroen-c3-puretech-60kw-83cv-feel-pack-5p-gasolina-2021-en-barcelona-70521195-covo.aspx
OPEL,OPEL Corsa 1.2 XEL Edition,8.400 €,2019,80.967 km,Gasolina,75 cv,Madrid,https://www.coches.net/opel-corsa-12-xel-55kw-75cv-edition-5p-gasolina-2020-en-madrid-70512730-covo.aspx
OPEL,OPEL Corsa 1.2T XHL GSLine,9.499 €,2019,124.997 km,Gasolina,100 cv,Barcelona,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-gsline-5p-gasolina-2020-en-barcelona-70519605-covo.aspx
LAND-ROVER,LAND-ROVER Discovery Sport 2.0L eD4 4x2 Pure,18.800 €,2018,103.100 km,Diesel,150 cv,Gipuzkoa,https://www.coches.net/land-rover-discovery-sport-20l-ed4-110kw-150cv-4x2-pure-5p-diesel-2018-en-guipuzcoa-55146498-covo.aspx
VOLKSWAGEN,VOLKSWAGEN ID.3 Pro 58kWh Automatico,28.500 €,2023,7000 km,Eléctrico,204 cv,Gipuzkoa,https://www.coches.net/volkswagen-id3-pro-150kw-204cv-58kwh-automatico-5p-electrico-hibrido-2024-en-guipuzcoa-56580766-covo.aspx
VOLKSWAGEN,VOLKSWAGEN T-Roc Dark 1.0 TSI,27.700 €,2024,50 km,Gasolina,115 cv,Gipuzkoa,https://www.coches.net/volkswagen-t-roc-dark-10-tsi-85kw-115cv-5p-gasolina-2024-en-guipuzcoa-58342284-covo.aspx
AUDI,AUDI Q3 45 TFSI e S tronic Advanced,37.700 €,2023,19.541 km,Híbrido enchufable,245 cv,Gipuzkoa,https://www.coches.net/audi-q3-45-tfsi-e-180kw-s-tronic-advanced-5p-electrico-hibrido-2024-en-guipuzcoa-59042800-covo.aspx
AUDI,AUDI A1 Sportback Adrenal Black 30TFSI S tr,26.600 €,2024,22.400 km,Gasolina,110 cv,Gipuzkoa,https://www.coches.net/audi-a1-sportback-adrenal-black-30tfsi-81kw-s-tr-5p-gasolina-2024-en-guipuzcoa-59078357-covo.aspx
VOLKSWAGEN,VOLKSWAGEN ID.3 Max Automatico 1 vel.,24.500 €,2020,46.000 km,Eléctrico,204 cv,Gipuzkoa,https://www.coches.net/volkswagen-id3-max-150kw-205cv-automatico-1-vel-5p-electrico-hibrido-2021-en-guipuzcoa-59554575-covo.aspx
AUDI,AUDI Q2 Adrenalin 30 TDI S tronic,32.500 €,2024,24.609 km,Diesel,116 cv,Gipuzkoa,https://www.coches.net/audi-q2-adrenalin-30-tdi-85kw-116cv-s-tronic-5p-diesel-2024-en-guipuzcoa-59594832-covo.aspx
AUDI,AUDI A5 TDI 204 CV S Line,59.900 €,2024,4400 km,Híbrido,204 cv,Gipuzkoa,https://www.coches.net/audi-a5-tdi-150-kw-204-cv-s-line-5p-electrico-hibrido-2025-en-guipuzcoa-60893023-covo.aspx
VOLKSWAGEN,VOLKSWAGEN T-Roc Life 1.5 TSI DSG,28.200 €,2024,12.871 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/volkswagen-t-roc-life-15-tsi-110kw-150cv-dsg-5p-gasolina-2024-en-guipuzcoa-61388896-covo.aspx
BMW,BMW Serie 5 M550iA xDrive,59.000 €,2020,221.000 km,Gasolina,530 cv,A Coruña,https://www.coches.net/bmw-serie-5-m550ia-xdrive-4p-gasolina-2021-en-a-coruna-61480447-covo.aspx
BMW,BMW Serie 4 M4 Competition M XDrive Cabrio,93.000 €,2023,36.900 km,Gasolina,510 cv,A Coruña,https://www.coches.net/bmw-serie-4-m4-competition-m-xdrive-cabrio-2p-gasolina-2023-en-a-coruna-61498962-covo.aspx
