Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
SUZUKI,SUZUKI Vitara 1.5 GLX Strong Hybrid Auto,27.000 €,2022,15.000 km,Híbrido,116 cv,A Coruña,2026-05-06 14:19:19,ECO,https://www.coches.net/suzuki-vitara-15-glx-strong-hybrid-auto-5p-electrico-hibrido-2022-en-a-coruna-70422503-covo.aspx
SEAT,SEAT Ibiza 1.0 TSI Style,11.050 €,2022,139.124 km,Gasolina,110 cv,Castellón,2026-05-06 14:19:19,C,https://www.coches.net/seat-ibiza-10-tsi-81kw-110cv-style-5p-gasolina-2023-en-castellon-70422579-covo.aspx
FORD,FORD Kuga Titanium 2.5 Duratec FHEV Auto,23.200 €,2023,32.376 km,Híbrido,190 cv,Barcelona,2026-05-06 14:19:19,ECO,https://www.coches.net/ford-kuga-titanium-25-duratec-fhev-140kw-auto-5p-electrico-hibrido-2023-en-barcelona-70423187-covo.aspx
SUZUKI,SUZUKI Ignis 1.2 GLX,11.000 €,2018,37.000 km,Gasolina,90 cv,A Coruña,2026-05-06 14:19:19,C,https://www.coches.net/suzuki-ignis-12-glx-5p-gasolina-2017-en-a-coruna-70423234-covo.aspx
KIA,KIA Sportage 1.6 MHEV Drive 4x2,17.990 €,2020,45.915 km,Híbrido,115 cv,Madrid,2026-05-06 14:19:19,ECO,https://www.coches.net/kia-sportage-16-mhev-drive-85kw-115cv-4x2-5p-electrico-hibrido-2020-en-madrid-70423344-covo.aspx
FORD,FORD Focus 1.0 Ecoboost STLine,11.999 €,2018,149.695 km,Gasolina,125 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/ford-focus-10-ecoboost-92kw-stline-5p-gasolina-2018-en-madrid-70423741-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 200 d,14.990 €,2017,191.274 km,Diesel,136 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/mercedes-benz-clase-a-a-200-d-5p-diesel-2018-en-madrid-70423844-covo.aspx
CITROEN,CITROEN C4 Cactus PureTech 110 SS Feel,11.900 €,2020,29.368 km,Gasolina,110 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/citroen-c4-cactus-puretech-110-ss-feel-5p-gasolina-2020-en-madrid-70423947-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan RLine 2.0 TDI DSG,29.990 €,2021,86.292 km,Diesel,150 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/volkswagen-tiguan-rline-20-tdi-110kw-150cv-dsg-5p-diesel-2022-en-madrid-70424673-covo.aspx
TOYOTA,TOYOTA Rav4 2.5l 220H Advance,27.490 €,2021,132.426 km,Híbrido,218 cv,Madrid,2026-05-06 14:19:19,ECO,https://www.coches.net/toyota-rav4-25l-220h-advance-5p-electrico-hibrido-2021-en-madrid-70424762-covo.aspx
JAGUAR,JAGUAR F-Pace 3.0L TDV6 AWD Automatico RSport,23.990 €,2017,189.000 km,Diesel,300 cv,Zamora,2026-05-06 14:19:19,C,https://www.coches.net/jaguar-f-pace-30l-tdv6-awd-automatico-rsport-5p-diesel-2018-en-zamora-70424882-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase CLA CLA 220 CDI Aut. AMG Line,16.499 €,2014,187.000 km,Diesel,177 cv,Alicante,2026-05-06 14:19:19,B,https://www.coches.net/mercedes-benz-clase-cla-cla-220-cdi-aut-amg-line-4p-diesel-2015-en-alicante-70424907-covo.aspx
PEUGEOT,PEUGEOT 208 BlueHDi Active Pack,10.999 €,2022,122.000 km,Diesel,100 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/peugeot-208-bluehdi-73kw-100cv-active-pack-5p-diesel-2021-en-alicante-70424909-covo.aspx
CITROEN,CITROEN C4 BlueHDi 130 SS EAT8 Shine,13.499 €,2021,99.000 km,Diesel,130 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/citroen-c4-bluehdi-130-ss-eat8-shine-5p-diesel-2021-en-alicante-70424911-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan RLine 1.5 TSI DSG,28.990 €,2021,100.000 km,Gasolina,150 cv,Sevilla,2026-05-06 14:19:19,C,https://www.coches.net/volkswagen-tiguan-rline-15-tsi-110kw-150cv-dsg-5p-gasolina-2022-en-sevilla-70425074-covo.aspx
OPEL,OPEL Grandland 1.2T XHT Hybrid eDCT6 SS GS,28.990 €,2025,30.300 km,Híbrido,146 cv,Madrid,2026-05-06 14:19:19,ECO,https://www.coches.net/opel-grandland-12t-xht-hybrid-edct6-ss-gs-5p-electrico-hibrido-2025-en-madrid-70425251-covo.aspx
CITROEN,CITROEN ë-Berlingo Talla M eBerlingo 50kWh MAX,26.990 €,2024,10 km,Eléctrico,136 cv,Madrid,2026-05-06 14:19:19,CERO,https://www.coches.net/citroen-e-berlingo-talla-m-eberlingo-50-kwh-max-5p-electrico-hibrido-2024-en-madrid-70425463-covo.aspx
CITROEN,CITROEN C5 Aircross PureTech SS Live,13.900 €,2019,45.354 km,Gasolina,131 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/citroen-c5-aircross-puretech-96kw-130cv-ss-live-5p-gasolina-2018-en-madrid-70425524-covo.aspx
OPEL,OPEL Mokka 1.6 CDTi 4X2 Selective Auto,9.999 €,2015,176.000 km,Diesel,136 cv,Alicante,2026-05-06 14:19:19,B,https://www.coches.net/opel-mokka-16-cdti-4x2-selective-auto-5p-diesel-2015-en-alicante-70425597-covo.aspx
CITROEN,CITROEN C4 PureTech 130 SS EAT8 Shine,15.990 €,2023,62.223 km,Gasolina,131 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/citroen-c4-puretech-130-ss-eat8-shine-5p-gasolina-2023-en-madrid-70425696-covo.aspx
OPEL,OPEL Corsa 1.2T XHL Edition,13.990 €,2024,62.009 km,Gasolina,100 cv,Sta. C. Tenerife,2026-05-06 14:19:19,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-edition-5p-gasolina-2025-en-sta-c-tenerife-70426036-covo.aspx
