Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
RENAULT,RENAULT Grand Scénic Limited TCe EDC GPF MY21,16.450 €,2021,164.361 km,Gasolina,140 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/renault-grand-scenic-limited-tce-103-kw-140cv-edc-gpf-my21-5p-gasolina-2021-en-madrid-70526707-covo.aspx
RENAULT,RENAULT Kangoo Combi Life Edition One 1.5 Blue dCi 70kW95CV,7.995 €,2021,220.000 km,Diesel,95 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/renault-kangoo-combi-life-edition-one-15-blue-dci-70kw95cv-5p-diesel-2021-en-madrid-70595169-covo.aspx
FORD,FORD Fiesta 1.5 TDCi Trend,9.990 €,2017,93.593 km,Diesel,75 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/ford-fiesta-15-tdci-55kw-75cv-trend-5p-5p-diesel-2017-en-madrid-70469054-covo.aspx
AUDI,AUDI A6 Avant 50 TFSIe quattroultra Black Line,39.990 €,2021,104.000 km,Híbrido enchufable,299 cv,A Coruña,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/audi-a6-avant-50-tfsie-quattroultra-black-line-5p-electrico-hibrido-2022-en-a-coruna-70571212-covo.aspx
PORSCHE,PORSCHE Panamera 4S Executive,69.980 €,2018,118.000 km,Gasolina,440 cv,Jaén,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/porsche-panamera-4s-executive-5p-gasolina-2018-en-jaen-70580429-covo.aspx
BMW,BMW X5 xDrive30d,46.990 €,2019,114.000 km,Diesel,265 cv,Bizkaia,2026-05-11 13:41:28,C,https://www.coches.net/bmw-x5-xdrive30d-5p-diesel-2020-en-vizcaya-70602455-covo.aspx
DS,DS DS 7 Crossback BlueHDi DE AT. PERF.LINE,17.990 €,2021,83.000 km,Diesel,130 cv,Madrid,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/ds-ds-7-crossback-bluehdi-de-96kw-130cv-at-perfline-5p-diesel-2021-en-madrid-70551875-covo.aspx
SKODA,SKODA Karoq 2.0 TDI DSG 4X4 Ambition,19.390 €,2022,122.784 km,Diesel,150 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/skoda-karoq-20-tdi-110kw-150cv-dsg-4x4-ambition-5p-diesel-2022-en-madrid-70554267-covo.aspx
JAGUAR,JAGUAR E-Pace 2.0D 4WD Auto,18.990 €,2020,117.285 km,Diesel,150 cv,Valencia,2026-05-11 13:41:28,C,https://www.coches.net/jaguar-e-pace-20d-110kw-4wd-auto-5p-diesel-2020-en-valencia-70555015-covo.aspx
CUPRA,CUPRA Formentor 1.5 TSI 150 CV DSG,22.000 €,2021,113.729 km,Gasolina,150 cv,Madrid,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/cupra-formentor-15-tsi-110kw-150-cv-dsg-5p-gasolina-2021-en-madrid-70560446-covo.aspx
RENAULT,RENAULT Mégane Business Blue dCi,14.990 €,2021,47.000 km,Diesel,115 cv,Sevilla,2026-05-11 13:41:28,C,https://www.coches.net/renault-megane-business-blue-dci-81-kw-115cv-5p-diesel-2018-en-sevilla-70513590-covo.aspx
AUDI,AUDI A3 Sportback Advanced 35 TFSI S tron,34.990 €,2024,16.300 km,Híbrido,150 cv,Asturias,2026-05-11 13:41:28,ECO,https://www.coches.net/audi-a3-sportback-advanced-35-tfsi-110kw-s-tron-5p-electrico-hibrido-2025-en-asturias-70560400-covo.aspx
CUPRA,CUPRA Formentor 2.0 TDI 150 CV,22.990 €,2022,115.091 km,Diesel,150 cv,Lugo,2026-05-11 13:41:28,C,https://www.coches.net/cupra-formentor-20-tdi-110kw-150-cv-5p-diesel-2023-en-lugo-70563911-covo.aspx
