Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 220 BlueTEC AMG Line,17.599 €,2014,153.800 km,Diesel,170 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-c-c-220-bluetec-amg-line-4p-diesel-2015-en-madrid-70568908-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E E 220 d,35.900 €,2021,67.630 km,Diesel,194 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-e-e-220-d-4p-diesel-2021-en-madrid-70561233-covo.aspx
CITROEN,CITROEN C3 PureTech SS FEEL,9.490 €,2019,86.410 km,Gasolina,110 cv,Lleida,2026-05-07 12:22:40,C,https://www.coches.net/citroen-c3-puretech-81kw-110cv-ss-feel-5p-gasolina-2019-en-lleida-70563870-covo.aspx
AUDI,AUDI A3 2.0 TDI clean d. quattro Ambiente,10.499 €,2014,225.000 km,Diesel,150 cv,Madrid,2026-05-07 12:22:40,B,https://www.coches.net/audi-a3-20-tdi-150cv-clean-d-quattro-ambiente-3p-diesel-2015-en-madrid-70564691-covo.aspx
PEUGEOT,PEUGEOT 308 Style 1.2 PureTech EAT8,10.490 €,2018,97.849 km,Gasolina,130 cv,Valencia,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-308-5p-style-12-puretech-96kw-130cv-eat8-5p-gasolina-2018-en-valencia-70555317-covo.aspx
PEUGEOT,PEUGEOT 208 PureTech GT,7.990 €,2020,119.800 km,Gasolina,100 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-208-puretech-73kw-100cv-gt-5p-gasolina-2020-en-madrid-70556394-covo.aspx
PEUGEOT,PEUGEOT 208 BlueHDi Allure,11.990 €,2020,73.263 km,Diesel,100 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-208-bluehdi-73kw-100cv-allure-5p-diesel-2020-en-barcelona-70556580-covo.aspx
PEUGEOT,PEUGEOT 208 BlueHDi Active,11.990 €,2020,108.300 km,Diesel,100 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-208-bluehdi-73kw-100cv-active-5p-diesel-2020-en-madrid-70557633-covo.aspx
BMW,BMW Serie 1 118i,25.490 €,2022,10.171 km,Gasolina,140 cv,Girona,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-1-118i-5p-gasolina-2020-en-girona-70569360-covo.aspx
BMW,BMW Serie 1 118i Corporate Auto.,25.990 €,2021,68.700 km,Gasolina,136 cv,Sta. C. Tenerife,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/bmw-serie-1-118i-corporate-auto-5p-gasolina-2022-en-sta-c-tenerife-70569542-covo.aspx
